Date,Open,High,Low,Close,Volume,30_Day_Rolling_Avg
7-Jul-17,142.9,144.75,142.9,144.18,19201712,
6-Jul-17,143.02,143.5,142.41,142.73,24128782,
5-Jul-17,143.69,144.79,142.72,144.09,21569557,
3-Jul-17,144.88,145.3,143.1,143.5,14277848,
30-Jun-17,144.45,144.96,143.78,144.02,23024107,
29-Jun-17,144.71,145.13,142.28,143.68,31499368,
28-Jun-17,144.49,146.11,143.16,145.83,22082432,
27-Jun-17,145.01,146.16,143.62,143.73,24761891,
26-Jun-17,147.17,148.28,145.38,145.82,25692361,
23-Jun-17,145.13,147.16,145.11,146.28,35439389,
22-Jun-17,145.77,146.7,145.12,145.63,19106294,
21-Jun-17,145.52,146.07,144.61,145.87,21265751,
20-Jun-17,146.87,146.87,144.94,145.01,24900073,
19-Jun-17,143.66,146.74,143.66,146.34,32541404,
16-Jun-17,143.78,144.5,142.2,142.27,50361093,
15-Jun-17,143.32,144.48,142.21,144.29,32165373,
14-Jun-17,147.5,147.5,143.84,145.16,31531232,
13-Jun-17,147.16,147.45,145.15,146.59,34165445,
12-Jun-17,145.74,146.09,142.51,145.42,72307330,
9-Jun-17,155.19,155.19,146.02,148.98,64882657,
8-Jun-17,155.25,155.54,154.4,154.99,21250798,
7-Jun-17,155.02,155.98,154.48,155.37,21069647,
6-Jun-17,153.9,155.81,153.78,154.45,26624926,
5-Jun-17,154.34,154.45,153.46,153.93,25331662,
2-Jun-17,153.58,155.45,152.89,155.45,27770715,
1-Jun-17,153.17,153.33,152.22,153.18,16404088,
31-May-17,153.97,154.17,152.38,152.76,24451164,
30-May-17,153.42,154.43,153.33,153.67,20126851,
26-May-17,154.0,154.24,153.31,153.61,21927637,
25-May-17,153.73,154.35,153.03,153.87,19235598,148.02333333333334
24-May-17,153.84,154.17,152.67,153.34,19219154,148.32866666666666
23-May-17,154.9,154.9,153.31,153.8,19918871,148.69766666666666
22-May-17,154.0,154.58,152.91,153.99,22966437,149.02766666666668
19-May-17,153.38,153.98,152.63,153.06,26960788,149.34633333333335
18-May-17,151.27,153.34,151.13,152.54,33568215,149.63033333333334
17-May-17,153.6,154.57,149.71,150.25,50767678,149.84933333333336
16-May-17,155.94,156.06,154.72,155.47,20048478,150.17066666666668
15-May-17,156.01,156.65,155.05,155.7,26009719,150.56966666666668
12-May-17,154.7,156.42,154.67,156.1,32527017,150.91233333333332
11-May-17,152.45,154.07,152.31,153.95,27255058,151.168
10-May-17,153.63,153.94,152.11,153.26,25805692,151.42233333333334
9-May-17,153.87,154.88,153.45,153.99,39130363,151.693
8-May-17,149.03,153.7,149.03,153.01,48752413,151.95966666666666
5-May-17,146.76,148.98,146.76,148.96,27327725,152.047
